Player,Nation,Squad,Pos,MP_Playing,Min_Playing,Gls,Ast,PK,Tkl_Tackles,TklW_Tackles,G_per_Sh_Standard,Cmp_percent_Total,Save_percent,CS_Percent,Save_percent_Penalty
Augustin Anello,ITA,"[""Sparta R'dam""]","['FW,MF']",8,225.0,0,0,0,4,3,0.0,62.0,0.0,0.0,0.0
Augusto Batalla,ARG,"['Rayo Vallecano', 'Granada']",['GK'],24,2160.0,0,0,0,1,1,0.0,65.27,66.96,12.5,0.0
Augusto Dabo,GNB,['Boavista'],"['DF', 'DF,FW']",16,559.0,0,1,0,9,6,0.0,57.02,0.0,0.0,0.0
Augusto Lotti,ITA,['Cruz Azul'],"['FW,MF', 'FW']",18,696.0,3,2,0,3,1,0.1,64.63,0.0,0.0,0.0
Augusto Solari,ARG,"['Atlas', 'Celta Vigo']","['FW,MF', 'MF']",34,1414.0,2,3,0,43,22,0.2,67.35,0.0,0.0,0.0
Aurele Amenda,SUI,['Eint Frankfurt'],['DF'],2,14.0,0,0,0,0,0,0.0,96.0,0.0,0.0,0.0
Aurélien Pelon,FRA,['Lorient'],['DF'],1,90.0,0,0,0,1,0,0.0,78.79,0.0,0.0,0.0
Aurélien Scheidler,FRA,['Dender'],['FW'],21,1492.0,6,2,0,11,7,0.15,63.99,0.0,0.0,0.0
Aurélien Tchouaméni,FRA,['Real Madrid'],"['MF', 'MF,DF']",67,4665.0,3,5,0,113,68,0.04,91.71,0.0,0.0,0.0
Aurélio Buta,POR,['Eint Frankfurt'],"['DF,MF', 'DF']",50,3109.0,4,3,0,74,45,0.18,77.32,0.0,0.0,0.0
Auston Trusty,USA,['Sheffield Utd'],['DF'],32,2572.0,0,0,0,47,30,0.0,76.25,0.0,0.0,0.0
Aventis Aventisian,ARM,['Go Ahead Eag'],"['MF,DF']",2,12.0,0,0,0,1,1,0.0,71.43,0.0,0.0,0.0
Avilés Hurtado,COL,"['FC Juárez', 'Pachuca']","['FW,MF']",75,4309.0,13,11,5,86,58,0.15,73.25,0.0,0.0,0.0
Awer Mabil,AUS,['Cádiz'],"['MF,FW']",5,165.0,0,0,0,2,0,0.0,62.96,0.0,0.0,0.0
Axel Camblan,FRA,['Brest'],"['FW,MF', 'FW']",15,170.0,0,0,0,5,3,0.0,76.92,0.0,0.0,0.0
Axel Disasi,FRA,"['Monaco', 'Chelsea']",['DF'],69,5909.0,5,3,0,63,39,0.11,86.9,0.0,0.0,0.0
Axel Grijalva,MEX,['Monterrey'],['DF'],2,57.0,0,0,0,2,2,0.0,61.9,0.0,0.0,0.0
Axel Gueguin,FRA,['Montpellier'],"['FW,MF', 'DF,FW']",8,156.0,0,0,0,9,5,0.0,64.81,0.0,0.0,0.0
Axel Guessand,FRA,"['Udinese', 'Volendam']",['DF'],4,165.0,0,0,0,4,3,0.0,73.21,0.0,0.0,0.0
Axel Tapé,FRA,['Leverkusen'],['DF'],4,163.0,0,0,0,1,1,0.0,92.42,0.0,0.0,0.0
Axel Werner,ARG,['Elche'],['GK'],2,180.0,0,0,0,0,0,0.0,74.29,50.0,0.0,0.0
Axel Witsel,BEL,"['Girona', 'Atlético Madrid']","['MF', 'DF,MF', 'DF']",72,5322.0,2,0,0,75,47,0.11,92.14,0.0,0.0,0.0
Ayanda Sishuba,BEL,['Lens'],"['MF,FW']",7,62.0,0,0,0,3,1,0.0,85.71,0.0,0.0,0.0
Ayase Ueda,JPN,"['Cercle Brugge', 'Feyenoord']","['FW,MF', 'FW']",81,4758.0,30,4,2,27,17,0.18,64.36,0.0,0.0,0.0
Ayden Heaven,ENG,['Manchester Utd'],['DF'],1,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ayman Azhil,MAR,['Leverkusen'],['MF'],1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ayman Kari,FRA,['Lorient'],"['MF', 'MF,DF']",19,989.0,1,1,0,18,14,0.09,88.04,0.0,0.0,0.0
Aymen Barkok,MAR,['Mainz 05'],"['MF,FW', 'MF']",36,905.0,1,1,0,27,13,0.05,66.74,0.0,0.0,0.0
Aymen Sliti,NED,['Feyenoord'],"['FW,MF']",4,89.0,1,0,0,1,0,0.25,70.83,0.0,0.0,0.0
Aymeric Laporte,ESP,"['Manchester City', 'Athletic Club']",['DF'],16,1212.0,0,0,0,11,8,0.0,93.08,0.0,0.0,0.0
Ayoub Amraoui,MAR,['Nice'],"['DF,FW']",7,294.0,0,0,0,6,5,0.0,83.78,0.0,0.0,0.0
Ayoub Oufkir,NED,"[""Sparta R'dam""]","['FW,DF']",6,48.0,0,1,0,3,3,0.0,51.61,0.0,0.0,0.0
Ayouba Kosiah,LBR,['Beerschot'],"['FW,DF']",16,535.0,1,0,0,8,6,0.07,67.71,0.0,0.0,0.0
Ayoze Pérez,ESP,"['Villarreal', 'Betis', 'Leicester City']","['MF,FW', 'FW,MF', 'FW']",59,4089.0,12,3,0,101,55,0.11,76.84,0.0,0.0,0.0
Ayrton Costa,ARG,['Antwerp'],['DF'],15,1212.0,0,0,0,43,27,0.0,80.87,0.0,0.0,0.0
Ayrton Preciado,ECU,['Querétaro'],"['MF,DF']",9,166.0,1,0,0,3,2,0.33,80.95,0.0,0.0,0.0
Ayumu Ohata,JPN,['OH Leuven'],['DF'],2,57.0,0,0,0,0,0,0.0,83.87,0.0,0.0,0.0
Ayumu Seko,JPN,['Le Havre'],"['MF,DF']",6,472.0,0,0,0,9,4,0.0,80.36,0.0,0.0,0.0
Ayyoub Bouaddi,FRA,['Lille'],['MF'],15,562.0,0,0,0,13,7,0.0,83.58,0.0,0.0,0.0
Aziz Ouattara,CIV,"['Mechelen', 'Genk']","['MF', 'MF,DF']",48,2258.0,2,0,0,57,41,0.12,82.68,0.0,0.0,0.0
Azor Matusiwa,NED,"['Rennes', 'Reims']",['MF'],58,4663.0,1,1,0,112,71,0.03,85.93,0.0,0.0,0.0
Azzeddine Toufiqui,FRA,['Emmen'],"['MF,FW']",5,60.0,0,0,0,0,0,0.0,65.52,0.0,0.0,0.0
Azzedine Ounahi,MAR,"['Marseille', 'Girona', 'Angers']","['MF,FW', 'MF']",47,2794.0,4,0,0,50,21,0.08,87.2,0.0,0.0,0.0
Aïman Maurer,MAR,['Clermont Foot'],"['MF,FW', 'MF']",15,557.0,0,1,0,3,2,0.0,70.13,0.0,0.0,0.0
Aïssa Laïdouni,TUN,['Union Berlin'],['MF'],37,1942.0,2,3,0,35,19,0.11,76.92,0.0,0.0,0.0
Aïssa Mandi,ALG,"['Villarreal', 'Lille']",['DF'],41,2850.0,1,0,0,37,22,0.14,90.51,0.0,0.0,0.0
Babatunde Akinsola,NGA,"['Valladolid', 'AVS Futebol']","['MF,FW', 'FW']",31,1181.0,2,1,0,17,14,0.07,67.85,0.0,0.0,0.0
Bachir Belloumi,ALG,['Farense'],"['FW,MF', 'FW']",36,2339.0,7,4,0,48,32,0.13,57.76,0.0,0.0,0.0
Badredine Bouanani,ALG,"['Lorient', 'Nice', 'Stuttgart']","['FW,MF', 'MF', 'FW']",42,1649.0,1,4,0,22,14,0.02,77.96,0.0,0.0,0.0
Bafodé Diakité,FRA,"['Bournemouth', 'Lille']",['DF'],60,4889.0,8,2,0,91,61,0.23,90.03,0.0,0.0,0.0
Bahereba Guirassy,FRA,['Nantes'],"['MF,FW']",4,202.0,0,1,0,9,5,0.0,54.9,0.0,0.0,0.0
Baila Diallo,FRA,['Clermont Foot'],"['DF,MF']",6,89.0,0,0,0,1,0,0.0,68.09,0.0,0.0,0.0
Bakary Haidara,CIV,['Westerlo'],['DF'],5,350.0,0,0,0,3,3,0.0,80.95,0.0,0.0,0.0
Balthazar Pierret,FRA,['Lecce'],['MF'],1,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bamba Dieng,SEN,"['Marseille', 'Lorient']","['FW,MF', 'FW']",42,1502.0,8,1,1,26,17,0.16,73.84,0.0,0.0,0.0
Bambasé Conté,GER,['Hoffenheim'],"['MF,FW']",7,48.0,0,0,0,3,3,0.0,79.17,0.0,0.0,0.0
Bambo Diaby,SEN,['Elche'],['DF'],2,49.0,0,0,0,0,0,0.0,96.67,0.0,0.0,0.0
Bamo Meïté,CIV,"['Marseille', 'Lorient']",['DF'],39,2647.0,1,0,0,37,19,0.17,89.33,0.0,0.0,0.0
Baptiste Guillaume,BEL,['Almere City'],"['FW,MF']",18,438.0,1,0,0,3,2,0.09,52.21,0.0,0.0,0.0
Baptiste Roux,FRA,['AVS Futebol'],['DF'],23,1863.0,1,1,0,34,19,0.2,82.12,0.0,0.0,0.0
Baptiste Santamaria,FRA,"['Valencia', 'Rennes']",['MF'],62,4213.0,3,2,0,101,59,0.06,85.62,0.0,0.0,0.0
Barry Lauwers,NED,['Volendam'],['GK'],2,180.0,0,0,0,0,0,0.0,54.88,36.36,50.0,0.0
Bart Nieuwkoop,NED,"['Feyenoord', 'Union SG']","['DF,MF', 'DF']",62,3683.0,4,6,0,90,62,0.11,71.94,0.0,0.0,0.0
Bart Ramselaar,NED,['Utrecht'],"['FW,MF', 'FW']",20,747.0,1,1,0,9,8,0.06,79.05,0.0,0.0,0.0
Bart Verbruggen,NED,"['Brighton', 'Anderlecht']",['GK'],44,3960.0,0,0,0,1,1,0.0,80.47,71.5,27.27,0.0
Bart Vriends,NED,"[""Sparta R'dam""]",['DF'],56,4649.0,4,1,0,57,35,0.21,85.19,0.0,0.0,0.0
Bart van Hintum,NED,['Zwolle'],['DF'],3,181.0,0,0,0,6,3,0.0,70.54,0.0,0.0,0.0
Bart van Rooij,NED,"['NEC Nijmegen', 'Twente']",['DF'],91,7974.0,3,8,0,190,109,0.05,77.38,0.0,0.0,0.0
Bartol Franjić,CRO,"['Darmstadt 98', 'Wolfsburg']",['MF'],25,1456.0,0,2,0,19,14,0.0,82.36,0.0,0.0,0.0
Bartosz Bereszyński,POL,"['Sampdoria', 'Empoli', 'Napoli']",['DF'],42,3126.0,0,2,0,72,45,0.0,76.18,0.0,0.0,0.0
Bartosz Białek,POL,['Vitesse'],['FW'],25,1533.0,5,1,0,10,2,0.14,65.1,0.0,0.0,0.0
Bartłomiej Drągowski,POL,['Spezia'],['GK'],34,2946.0,0,1,0,1,0,0.0,68.88,68.29,17.65,20.0
Bas Dost,NED,"['NEC Nijmegen', 'Utrecht']",['FW'],30,1815.0,12,4,1,12,8,0.29,62.33,0.0,0.0,0.0
Bas Kuipers,NED,"['Go Ahead Eag', 'Twente']",['DF'],86,6579.0,11,8,0,91,51,0.14,72.54,0.0,0.0,0.0
Bas van den Eynden,BEL,['Mechelen'],['DF'],9,724.0,3,0,0,12,7,0.43,88.54,0.0,0.0,0.0
Basar Onal,TUR,['NEC Nijmegen'],"['FW,MF']",33,1386.0,1,2,0,23,14,0.04,65.55,0.0,0.0,0.0
Bashir Humphreys,ENG,['Burnley'],['DF'],1,3.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Bassirou Ndiaye,SEN,['Lorient'],['FW'],5,152.0,0,0,0,5,2,0.0,69.23,0.0,0.0,0.0
Bastien Meupiyou,FRA,['Nantes'],['DF'],1,8.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Bastien Toma,SUI,['Paços de Ferreira'],['MF'],12,430.0,0,0,0,6,3,0.0,86.73,0.0,0.0,0.0
Batista Mendy,FRA,"['Angers', 'Sevilla']","['MF', 'MF,DF']",39,3149.0,0,0,0,77,34,0.0,85.7,0.0,0.0,0.0
Batxi,ANG,['Chaves'],"['FW,MF']",4,326.0,1,1,0,5,3,0.33,70.0,0.0,0.0,0.0
Bazoumana Touré,CIV,['Hoffenheim'],"['FW,MF']",6,527.0,0,1,0,8,4,0.0,67.44,0.0,0.0,0.0
Bebé,CPV,['Rayo Vallecano'],"['MF,FW', 'FW']",23,272.0,2,0,1,2,2,0.11,59.15,0.0,0.0,0.0
Becir Omeragic,SUI,['Montpellier'],"['DF,MF']",28,2312.0,0,0,0,48,29,0.0,85.28,0.0,0.0,0.0
Ben Aissa Ben Amar,MAR,['Volendam'],"['DF,MF', 'DF']",60,4325.0,6,1,0,62,41,0.23,83.46,0.0,0.0,0.0
Ben Bobzien,GER,['Mainz 05'],['FW'],1,9.0,0,0,0,2,2,0.0,81.82,0.0,0.0,0.0
Ben Brereton,CHI,"['Sheffield Utd', 'Villarreal']","['FW,MF']",28,1375.0,6,1,1,11,6,0.15,75.29,0.0,0.0,0.0
Ben Chilwell,ENG,"['Strasbourg', 'Chelsea']","['DF,MF', 'DF', 'DF,FW']",39,2389.0,2,3,0,39,30,0.07,77.28,0.0,0.0,0.0
Ben Davies,WAL,['Tottenham'],['DF'],48,3378.0,3,2,0,52,28,0.12,84.75,0.0,0.0,0.0
Ben Doak,SCO,['Liverpool'],['FW'],1,14.0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0
Ben Gannon-Doak,SCO,"['Liverpool', 'Bournemouth']",['FW'],4,57.0,0,1,0,4,2,0.0,77.78,0.0,0.0,0.0
Ben Godfrey,ENG,['Everton'],['DF'],28,1922.0,0,1,0,50,31,0.0,67.71,0.0,0.0,0.0
Ben Hamed Touré,CIV,['Ajaccio'],['FW'],4,209.0,0,0,0,4,4,0.0,77.78,0.0,0.0,0.0
Ben Johnson,ENG,['West Ham'],"['DF', 'DF,FW']",31,1410.0,0,0,0,31,21,0.0,73.76,0.0,0.0,0.0
Ben Mee,ENG,['Brentford'],['DF'],53,4541.0,5,1,0,71,39,0.13,76.57,0.0,0.0,0.0
Ben Osborn,ENG,['Sheffield Utd'],"['DF,MF']",24,1367.0,0,2,0,22,9,0.0,73.68,0.0,0.0,0.0
Ben Parkinson,ENG,['Newcastle Utd'],['FW'],1,25.0,0,0,0,0,0,0.0,33.33,0.0,0.0,0.0
Ben Pearson,ENG,['Bournemouth'],['MF'],7,286.0,0,0,0,7,3,0.0,80.6,0.0,0.0,0.0
Ben Rienstra,NED,['Cambuur'],"['MF,DF']",4,150.0,0,0,0,1,1,0.0,78.87,0.0,0.0,0.0
Ben Scholte,NED,['Emmen'],['MF'],7,165.0,0,0,0,1,1,0.0,61.9,0.0,0.0,0.0
Ben White,ENG,['Arsenal'],['DF'],76,6113.0,6,9,0,110,60,0.25,84.05,0.0,0.0,0.0
Ben Winterburn,ENG,['Bournemouth'],['MF'],1,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Benedict Hollerbach,GER,"['Union Berlin', 'Mainz 05']","['FW,MF', 'FW']",29,1296.0,5,0,0,17,11,0.15,63.84,0.0,0.0,0.0
Benedikt Gimber,GER,['Heidenheim'],"['DF,MF', 'DF']",29,2315.0,1,1,0,46,27,0.06,80.77,0.0,0.0,0.0
Beni,ANG,"['Vitória', 'Casa Pia']",['MF'],59,3333.0,0,5,0,85,59,0.0,87.35,0.0,0.0,0.0
Benicio Boaitey,ENG,['Brighton'],"['FW,DF']",5,40.0,0,0,0,0,0,0.0,65.0,0.0,0.0,0.0
Benito Raman,BEL,"['Mechelen', 'Anderlecht']",['FW'],56,2227.0,18,1,0,28,19,0.21,66.06,0.0,0.0,0.0
Benito Ramírez,ESP,['Las Palmas'],"['FW,MF']",20,384.0,1,1,0,5,3,0.1,69.39,0.0,0.0,0.0
Benjamin André,FRA,['Lille'],['MF'],68,5846.0,5,2,0,225,127,0.1,83.34,0.0,0.0,0.0
Benjamin Bourigeaud,FRA,['Rennes'],"['MF,FW']",69,5490.0,16,16,9,76,47,0.14,75.62,0.0,0.0,0.0
Benjamin Henrichs,GER,['RB Leipzig'],"['DF,MF', 'DF']",63,4714.0,3,7,0,141,85,0.05,78.3,0.0,0.0,0.0
Benjamin Lecomte,FRA,"['Montpellier', 'Espanyol']",['GK'],59,5309.0,0,1,0,0,0,0.0,65.49,73.63,32.2,33.33
Benjamin Leroy,FRA,['Ajaccio'],['GK'],32,2798.0,0,0,0,0,0,0.0,60.91,55.64,12.5,0.0
Benjamin Mendy,FRA,['Lorient'],['DF'],15,711.0,2,1,0,3,1,0.15,67.95,0.0,0.0,0.0
Benjamin Pavard,FRA,"['Inter', 'Marseille', 'Bayern Munich']",['DF'],57,4366.0,5,3,0,107,63,0.1,89.23,0.0,0.0,0.0
Benjamin Stambouli,FRA,"['Reims', 'Metz']",['MF'],12,729.0,0,1,0,19,13,0.0,76.52,0.0,0.0,0.0
Benjamin Tahirovic,BIH,"['Roma', 'Ajax']",['MF'],38,2098.0,2,4,0,42,29,0.11,88.19,0.0,0.0,0.0
Benjamin Tetteh,GHA,['Metz'],"['FW,MF']",12,278.0,0,0,0,6,6,0.0,63.64,0.0,0.0,0.0
Benjamin Šeško,SVN,"['RB Leipzig', 'Manchester Utd']",['FW'],37,1823.0,15,2,0,13,5,0.26,65.45,0.0,0.0,0.0
Benjamín Domínguez,ARG,['Bologna'],['FW'],1,58.0,0,0,0,0,0,0.0,83.33,0.0,0.0,0.0
Benjamín Galdames,MEX,['Atlético'],"['MF,FW', 'FW,MF']",36,1068.0,3,0,0,24,19,0.2,77.97,0.0,0.0,0.0
Benjamín Rollheiser,ARG,['Benfica'],"['MF,FW', 'FW']",18,296.0,2,1,0,4,4,0.29,82.51,0.0,0.0,0.0
Benji Michel,USA,['Arouca'],"['FW,MF', 'FW']",17,327.0,1,1,0,1,1,0.2,67.33,0.0,0.0,0.0
Bennit Bröger,GER,['Wolfsburg'],['FW'],1,11.0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0
Benno Schmitz,GER,['Köln'],['DF'],53,3575.0,1,1,0,91,57,0.06,65.22,0.0,0.0,0.0
Benny,POR,['Chaves'],"['MF,FW', 'FW,MF']",58,2487.0,1,5,0,24,11,0.03,66.51,0.0,0.0,0.0
Benny Díaz,MEX,['FC Juárez'],['GK'],15,1350.0,0,0,0,0,0,0.0,73.97,58.23,13.33,0.0
Benoît Badiashile,FRA,"['Monaco', 'Chelsea']",['DF'],41,3094.0,3,1,0,45,31,0.18,89.44,0.0,0.0,0.0
Benoît Costil,FRA,"['Auxerre', 'Salernitana']",['GK'],32,2880.0,0,0,0,4,1,0.0,65.82,57.41,9.38,0.0
Benson Manuel,ANG,"['Burnley', 'Antwerp']","['MF,FW', 'FW']",9,142.0,0,0,0,3,2,0.0,78.79,0.0,0.0,0.0
Bent Sørmo,NOR,['Zulte Waregem'],['DF'],8,411.0,0,0,0,12,10,0.0,81.14,0.0,0.0,0.0
Berat Djimsiti,ALB,['Atalanta'],['DF'],65,4989.0,0,2,0,80,46,0.0,87.33,0.0,0.0,0.0
Berkan Kutlu,TUR,['Genoa'],['MF'],6,199.0,0,0,0,6,4,0.0,71.88,0.0,0.0,0.0
Berke Özer,TUR,['Lille'],['GK'],5,450.0,0,1,0,1,0,0.0,80.34,50.0,20.0,100.0
Berna,ANG,['Boavista'],"['FW,DF', 'MF']",19,328.0,0,0,0,15,11,0.0,75.31,0.0,0.0,0.0
Bernard Nguene,CMR,['Nice'],['FW'],2,39.0,0,0,0,0,0,0.0,63.64,0.0,0.0,0.0
Bernardo,BRA,"['Hoffenheim', 'Bochum']",['DF'],39,3458.0,1,0,0,120,72,0.03,73.02,0.0,0.0,0.0
Bernardo Espinosa,COL,['Girona'],['DF'],22,1227.0,1,1,0,7,3,0.09,88.93,0.0,0.0,0.0
Bernardo Folha,POR,['Porto'],"['MF,FW']",5,58.0,0,0,0,3,1,0.0,82.86,0.0,0.0,0.0
Bernardo Martins,POR,['Moreirense'],"['FW,MF']",31,1636.0,4,3,0,40,23,0.13,77.57,0.0,0.0,0.0
Bernardo Parra,MEX,['UANL'],['MF'],10,541.0,0,0,0,11,7,0.0,87.07,0.0,0.0,0.0
Bernardo Silva,POR,['Manchester City'],"['MF,FW', 'MF']",73,5141.0,10,15,0,102,50,0.17,85.85,0.0,0.0,0.0
Bernardo Vital,POR,['Estoril'],"['MF', 'DF']",56,4839.0,1,0,0,63,37,0.07,87.62,0.0,0.0,0.0
Bernd Leno,GER,['Fulham'],['GK'],81,7290.0,0,0,0,1,0,0.0,79.2,71.53,23.46,5.56
Bertrand Traoré,BFA,"['Sunderland', 'Villarreal', 'Aston Villa', 'Ajax']","['MF,FW', 'MF', 'FW,MF', 'FW', 'DF,FW']",54,2561.0,9,5,0,25,17,0.1,78.55,0.0,0.0,0.0
Bertuğ Yıldırım,TUR,['Rennes'],['FW'],22,472.0,0,1,0,7,5,0.0,68.18,0.0,0.0,0.0
Beto,GNB,"['Udinese', 'Everton']",['FW'],70,3533.0,14,1,1,33,17,0.13,62.08,0.0,0.0,0.0
Bevic Moussiti-Oko,CGO,['Ajaccio'],['FW'],17,698.0,1,0,0,3,1,0.05,55.21,0.0,0.0,0.0
Beñat Prados,ESP,['Athletic Club'],"['MF', 'MF,DF']",28,1534.0,0,0,0,48,30,0.0,81.86,0.0,0.0,0.0
Beñat Turrientes,ESP,['Real Sociedad'],"['MF,FW', 'MF']",40,2032.0,0,1,0,42,25,0.0,84.85,0.0,0.0,0.0
Biel,BRA,['Sporting CP'],"['MF,FW']",3,15.0,0,0,0,0,0,0.0,55.56,0.0,0.0,0.0
Bilal Abdelrahman Zeeni,EGY,['Estrela'],['MF'],1,8.0,0,0,0,1,1,0.0,66.67,0.0,0.0,0.0
Bilal Bafdili,BEL,['Mechelen'],"['MF,FW']",38,1074.0,4,0,0,17,11,0.24,76.67,0.0,0.0,0.0
Bilal Boutobba,FRA,['Clermont Foot'],"['FW,MF']",27,926.0,1,1,0,22,12,0.04,69.11,0.0,0.0,0.0
Bilal Brahimi,ALG,"['Sint-Truiden', 'Nice', 'Brest']","['MF,FW', 'FW,MF', 'FW']",68,2520.0,4,5,0,17,11,0.05,71.22,0.0,0.0,0.0
Bilal El Khannouss,MAR,"['Stuttgart', 'Genk']",['MF'],64,4718.0,5,10,0,107,67,0.05,74.7,0.0,0.0,0.0
Bilal Nadir,MAR,['Marseille'],"['MF,FW']",9,277.0,0,2,0,7,6,0.0,84.38,0.0,0.0,0.0
Bilal Ould-Chikh,MAR,['Volendam'],"['FW,MF']",42,3068.0,4,7,0,23,13,0.09,67.33,0.0,0.0,0.0
Bilel Aouacheria,FRA,['Gil Vicente FC'],"['FW,MF']",24,747.0,1,1,0,15,10,0.04,68.64,0.0,0.0,0.0
Bill Antonio,ZIM,['Mechelen'],"['MF,FW', 'DF,FW']",20,925.0,3,2,0,14,7,0.23,65.32,0.0,0.0,0.0
Billal Messaoudi,ALG,['Kortrijk'],"['FW,MF', 'DF,MF', 'FW']",48,2299.0,2,1,0,24,14,0.03,66.36,0.0,0.0,0.0
Billy Gilmour,SCO,"['Brighton', 'Napoli']",['MF'],48,2695.0,1,2,0,32,18,0.03,90.75,0.0,0.0,0.0
Billy van Duijl,NED,['Volendam'],['DF'],3,149.0,0,0,0,2,1,0.0,77.38,0.0,0.0,0.0
Bingourou Kamara,SEN,"['Montpellier', 'Lorient']",['GK'],8,678.0,0,0,0,0,0,0.0,71.71,50.0,12.5,50.0
Birama Touré,MLI,['Auxerre'],['MF'],38,3400.0,2,0,0,80,47,0.08,80.36,0.0,0.0,0.0
Birger Meling,NOR,['Rennes'],['DF'],28,1225.0,0,1,0,25,16,0.0,85.39,0.0,0.0,0.0
Birger Verstraete,BEL,"['OH Leuven', 'Mechelen', 'Antwerp']",['MF'],50,3865.0,2,3,0,96,58,0.06,79.49,0.0,0.0,0.0
Bjorn Meijer,NED,['Club Brugge'],['DF'],55,3943.0,4,7,0,57,37,0.1,77.1,0.0,0.0,0.0
Bjørn Johnsen,NOR,['Cambuur'],['FW'],13,876.0,3,0,1,4,1,0.14,54.14,0.0,0.0,0.0
Bobby Adekanye,NED,['Go Ahead Eag'],"['FW,MF', 'FW']",72,4728.0,7,9,0,57,32,0.07,69.73,0.0,0.0,0.0
Bobby Clark,ENG,['Liverpool'],['MF'],6,97.0,0,0,0,2,1,0.0,78.0,0.0,0.0,0.0
Bobby De Cordova-Reid,JAM,['Fulham'],"['FW,DF', 'FW']",69,3898.0,10,3,0,64,38,0.16,71.74,0.0,0.0,0.0
Bogdan Milovanov,UKR,['Arouca'],['DF'],37,2192.0,0,0,0,87,52,0.0,69.45,0.0,0.0,0.0
Bojan Miovski,MKD,['Girona'],['FW'],1,44.0,0,0,0,0,0,0.0,66.67,0.0,0.0,0.0
Bojan Radulovic,SRB,['Fortuna Sittard'],['FW'],11,544.0,1,0,0,5,4,0.08,61.11,0.0,0.0,0.0
Bolgado,BRA,['Casa Pia'],['DF'],11,487.0,1,0,0,12,6,0.5,82.72,0.0,0.0,0.0
Boli Bolingoli-Mbombo,BEL,"['Standard Liège', 'Mechelen']",['DF'],35,1782.0,0,0,0,58,38,0.0,81.7,0.0,0.0,0.0
Bonke Innocent,NGA,['Lorient'],['MF'],29,1392.0,0,1,0,34,21,0.0,90.04,0.0,0.0,0.0
Boris Popović,SRB,"['Arouca', 'Cercle Brugge']",['DF'],80,5950.0,2,4,0,74,49,0.05,67.21,0.0,0.0,0.0
Boris Radunović,SRB,['Cagliari'],['GK'],7,630.0,0,0,0,0,0,0.0,76.13,59.26,28.57,
Boris lambert,BEL,"['Eupen', 'Willem II']","['MF,DF', 'DF,MF']",75,5500.0,6,0,0,154,96,0.16,76.88,0.0,0.0,0.0
Borja Bastón,ESP,['Pachuca'],['FW'],7,352.0,0,0,0,1,1,0.0,71.15,0.0,0.0,0.0
Borja García,ESP,['Girona'],"['MF,FW']",11,679.0,1,0,0,10,4,0.12,77.22,0.0,0.0,0.0
Borja Iglesias,ESP,"['Betis', 'Leverkusen', 'Celta Vigo']",['FW'],60,3379.0,19,4,6,10,5,0.23,76.36,0.0,0.0,0.0
Borja López,ESP,['Zulte Waregem'],['DF'],19,1420.0,1,0,0,20,15,0.11,73.55,0.0,0.0,0.0
Borja Mayoral,ESP,['Getafe'],['FW'],68,5288.0,25,4,4,21,11,0.26,75.48,0.0,0.0,0.0
Borja Sánchez Laborde,ESP,"['Oviedo', 'León']","['MF', 'MF,DF']",9,368.0,1,0,0,8,5,0.17,76.58,0.0,0.0,0.0
Borja Vázquez,ESP,['Cádiz'],['FW'],1,4.0,0,0,0,1,0,0.0,50.0,0.0,0.0,0.0
Borna Sosa,CRO,"['Ajax', 'Stuttgart']","['FW,DF', 'DF']",43,2849.0,2,11,0,49,35,0.1,75.34,0.0,0.0,0.0
Bosko Sutalo,CRO,['Standard Liège'],['DF'],21,1636.0,1,0,0,45,32,0.14,79.82,0.0,0.0,0.0
Boubacar Hanne,POR,['Gil Vicente FC'],"['FW,DF']",2,33.0,0,0,0,0,0,0.0,69.57,0.0,0.0,0.0
Boubacar Kamara,FRA,['Aston Villa'],"['MF', 'MF,DF']",48,3634.0,0,3,0,107,58,0.0,87.12,0.0,0.0,0.0
Boubacar Traoré,MLI,"['Metz', 'Wolves']",['MF'],39,1672.0,1,1,0,62,35,0.05,83.93,0.0,0.0,0.0
Boubakar Kouyaté,MLI,['Montpellier'],['DF'],38,3184.0,0,2,0,80,48,0.0,82.08,0.0,0.0,0.0
Boubakary Soumaré,FRA,"['Sevilla', 'Leicester City']",['MF'],54,3915.0,0,1,0,96,62,0.0,88.33,0.0,0.0,0.0
Boulaye Dia,SEN,"['Salernitana', 'Lazio']","['MF,FW', 'FW,MF']",55,3872.0,21,6,2,17,7,0.27,78.64,0.0,0.0,0.0
Bouna Sarr,SEN,['Bayern Munich'],"['FW', 'DF']",3,109.0,0,0,0,2,0,0.0,87.74,0.0,0.0,0.0
Boy Kemper,NED,['NAC Breda'],['DF'],29,2407.0,1,3,0,45,25,0.07,71.66,0.0,0.0,0.0
Boy Waterman,NED,['PSV Eindhoven'],['GK'],1,6.0,0,0,0,0,0,0.0,100.0,100.0,0.0,0.0
Boyd Lucassen,NED,['NAC Breda'],"['DF,FW']",18,1224.0,1,1,0,42,26,0.2,70.18,0.0,0.0,0.0
